Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
OECD members,OED,"School enrollment, secondary (% net)",SE.SEC.NENR,80.08977,81.52645,81.92525,83.3132,84.18275,84.98548,85.20968,85.24645,85.44197,85.20094,85.57344,86.02198,85.84729,87.04059,87.72014,88.46915,89.00189,89.3494
Other small states,OSS,"School enrollment, secondary (% net)",SE.SEC.NENR,43.11204,43.99237,45.55286,46.64881,48.30282,49.35865,49.39798,50.30923,50.51286,51.25826,51.6864,51.62497,52.43997,52.7261,53.1738,53.35628,53.6004,54.02025
Peru,PER,"School enrollment, secondary (% net)",SE.SEC.NENR,62.00506,65.00322,65.88343,,66.03303,67.21536,69.37305,72.88175,74.67779,77.71898,77.70725,78.92787,75.31964,79.99309,79.52639,79.18143,82.80666,85.58522
Poland,POL,"School enrollment, secondary (% net)",SE.SEC.NENR,90.2038,91.15086,92.09939,92.53334,90.80341,92.97257,92.73418,92.17529,91.26481,90.26224,89.64078,89.01451,89.14576,90.92449,91.52153,92.66846,93.44554,94.08406
Pre-demographic dividend,PRE,"School enrollment, secondary (% net)",SE.SEC.NENR,18.21793,19.08439,19.95081,20.95861,22.32802,23.10283,23.89674,24.44371,26.63833,28.33974,30.06803,30.25196,30.51339,31.63519,32.22259,32.96741,33.74958,34.67489
West Bank and Gaza,PSE,"School enrollment, secondary (% net)",SE.SEC.NENR,74.67093,75.41821,78.09173,80.8798,84.53299,85.61943,86.68269,86.4551,86.2914,85.04096,83.27484,81.3884,81.75054,81.78292,82.22385,83.72251,85.18335,87.20079
Post-demographic dividend,PST,"School enrollment, secondary (% net)",SE.SEC.NENR,85.18859,85.98569,85.83837,87.09157,87.73305,88.01966,88.06183,87.9194,88.2413,88.44542,88.44297,88.54826,88.58138,88.79159,89.23449,89.86954,90.54602,90.73148
South Asia,SAS,"School enrollment, secondary (% net)",SE.SEC.NENR,39.21835,39.45048,40.80542,42.38781,43.5326,45.2492,46.59837,48.49171,50.24801,49.83545,52.14638,54.02543,55.94732,57.56894,58.0758,58.30514,58.68417,60.20007
Sub-Saharan Africa (excluding high income),SSA,"School enrollment, secondary (% net)",SE.SEC.NENR,20.69953,21.53225,22.50022,23.40669,24.60959,25.51868,26.34444,27.27121,28.9109,30.2005,31.70727,32.06235,32.45156,33.38244,34.02056,34.80147,35.06753,35.28772
Sub-Saharan Africa,SSF,"School enrollment, secondary (% net)",SE.SEC.NENR,20.70502,21.53815,22.50571,23.41232,24.61484,25.52428,26.34918,27.27619,28.91533,30.20465,31.71098,32.06327,32.45388,33.38542,34.02342,34.8044,35.0705,35.29055
Small states,SST,"School enrollment, secondary (% net)",SE.SEC.NENR,49.94965,50.80277,52.07714,52.76738,54.46747,55.1457,55.29746,55.84291,56.08131,56.69121,57.08271,57.06738,57.3443,57.34041,57.68301,57.59482,57.88084,58.13102
Slovenia,SVN,"School enrollment, secondary (% net)",SE.SEC.NENR,91.37488,92.02806,92.6313,92.96358,92.23803,92.02712,91.66008,93.14014,93.05556,93.45478,94.02173,94.12994,94.0584,95.17996,94.78695,96.42797,95.46,95.68577
Sweden,SWE,"School enrollment, secondary (% net)",SE.SEC.NENR,95.51994,94.91041,97.39371,98.32237,98.71966,99.83487,99.55568,98.45967,97.11186,95.06724,93.07121,91.5596,92.53922,94.47021,96.67425,99.64163,99.06336,
East Asia & Pacific (IDA & IBRD countries),TEA,"School enrollment, secondary (% net)",SE.SEC.NENR,62.7066,63.43926,63.31473,64.59492,66.01198,66.81065,67.89524,69.96361,69.91141,71.80212,73.82039,75.38487,74.56589,76.11492,78.70527,78.39649,78.45527,78.14456
Europe & Central Asia (IDA & IBRD countries),TEC,"School enrollment, secondary (% net)",SE.SEC.NENR,82.29494,84.02187,84.04544,84.33615,82.66045,81.56678,82.22103,82.961,83.00859,82.76428,84.57692,86.04322,86.51647,88.44553,89.01402,89.26089,88.53747,88.96116
Latin America & the Caribbean (IDA & IBRD countries),TLA,"School enrollment, secondary (% net)",SE.SEC.NENR,65.38891,66.29725,67.32007,65.8224,66.99694,67.90555,68.37099,68.6504,70.97578,71.96324,72.38443,72.76949,72.55697,75.89555,76.21968,76.65285,77.41567,77.28509
Middle East & North Africa (IDA & IBRD countries),TMN,"School enrollment, secondary (% net)",SE.SEC.NENR,60.57024,61.43204,62.12412,63.16248,64.40082,64.24293,64.43329,63.84027,65.27432,67.19797,67.03865,69.50265,69.60627,66.99178,67.51367,68.29196,69.29603,69.79347
South Asia (IDA & IBRD),TSA,"School enrollment, secondary (% net)",SE.SEC.NENR,39.21835,39.45048,40.80542,42.38781,43.5326,45.2492,46.59837,48.49171,50.24801,49.83545,52.14638,54.02543,55.94732,57.56894,58.0758,58.30514,58.68417,60.20007
Sub-Saharan Africa (IDA & IBRD countries),TSS,"School enrollment, secondary (% net)",SE.SEC.NENR,20.70502,21.53815,22.50571,23.41232,24.61484,25.52428,26.34918,27.27619,28.91533,30.20465,31.71098,32.06327,32.45388,33.38542,34.02342,34.8044,35.0705,35.29055
Turkiye,TUR,"School enrollment, secondary (% net)",SE.SEC.NENR,64.45987,72.65051,72.07506,72.13827,74.05944,76.35578,78.89809,80.55242,79.85273,76.51685,80.94061,84.20113,81.2314,86.87212,87.44485,86.64416,85.28003,87.22819
Upper middle income,UMC,"School enrollment, secondary (% net)",SE.SEC.NENR,69.54157,70.21029,69.99967,70.14056,70.99974,71.97445,72.82572,73.76982,74.68254,76.6922,78.43899,79.40965,78.60217,80.77983,82.91939,82.72245,82.62597,82.12463
"Venezuela, RB",VEN,"School enrollment, secondary (% net)",SE.SEC.NENR,51.45313,54.80014,57.32278,58.95968,61.33545,63.14279,66.58989,68.83938,69.97967,71.68989,71.94629,73.03338,74.79369,75.07477,75.72595,74.55316,73.3043,73.24477
World,WLD,"School enrollment, secondary (% net)",SE.SEC.NENR,54.93954,55.54719,56.06077,56.94918,57.81391,58.49775,59.11553,60.08915,60.84241,61.3097,62.54485,63.53369,63.79482,64.8996,65.64805,65.71337,65.82859,66.19644
